INSTNM,CITY,STABBR,CONTROL,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,PCTFLOAN,PCTPELL,MN_EARN_WNE_P10,MD_EARN_WNE_P10,ADM_RATE,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,UGDS
University of North Alabama,Florence,AL,1,5485,7412,13268,0.6733,0.4051,39600,36100,0.6788,0,0,0,0,0.0714,0,0.0106,0,0.1168,0,0,0.0106,0.0319,0,0.0222,0,0,0.0309,0.0029,0,0.0425,0.0473,0,0,0.0203,0,0.0232,0.0444,0.0492,0.0608,0,0,0,0,0.0589,0.1631,0.1718,0.0212,5485
Northeast Alabama Community College,Rainsville,AL,1,2225,4260,7650,0,0.5893,30800,28300,NULL,0,0,0,0,0,0,0.0201,0.0562,0,0,0.0857,0,0.0335,0,0,0.2155,0,0,0,0,0,0,0,0,0,0,0,0.0455,0,0,0,0.1754,0.0214,0,0,0.2784,0.0683,0,2225
Oakwood University,Huntsville,AL,2,1878,16720,16720,0.7271,0.5062,38800,33900,0.4787,0,0,0,0,0.0342,0,0.0311,0,0.0497,0,0,0.0093,0.0031,0,0.0217,0.0311,0,0.1894,0.0093,0,0,0,0,0.0839,0,0,0.0932,0,0.0404,0.0342,0,0,0,0,0.0342,0.1025,0.2112,0.0217,1878
Alabama Southern Community College,Monroeville,AL,1,1180,4260,7650,0,0.5841,27800,22400,NULL,0,0,0,0,0,0,0,0.034,0,0,0.1547,0,0,0,0,0.3585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1321,0,0,0.2,0.1208,0,1180
Prince Institute-Southeast,Elmhurst,IL,3,84,9685,9685,0.9375,0.7857,PrivacySuppressed,PrivacySuppressed,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7222,0,0,84
Reid State Technical College,Evergreen,AL,1,425,4320,7710,0,0.5493,24500,20100,NULL,0,0,0,0,0,0,0,0.1056,0,0,0,0,0.0497,0,0,0,0,0,0,0,0.0124,0,0,0,0,0,0,0,0,0,0.0062,0.1366,0.0807,0.118,0,0.3851,0.1056,0,425
Bishop State Community College,Mobile,AL,1,2927,4260,7650,0,0.6327,26500,21800,NULL,0,0,0,0,0,0.0018,0.0268,0.0358,0,0,0.068,0,0.0233,0,0,0.1521,0,0,0,0,0.0787,0,0,0,0,0,0,0,0,0,0.025,0.0376,0.1395,0.1789,0,0.229,0.0036,0,2927
Samford University,Birmingham,AL,2,3033,27324,27324,0.3385,0.1391,57000,45800,0.5954,0,0,0,0.0016,0.0637,0,0.0143,0,0.0653,0.0064,0,0.0175,0.0478,0.0478,0.0271,0.008,0,0.0494,0.0064,0,0.0048,0.0732,0.0223,0.0032,0.0016,0,0.035,0,0.0143,0.0414,0,0,0,0,0.0876,0.1799,0.1449,0.0366,3033
Selma University,Selma,AL,2,472,6680,6680,0.8935,0.8247,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2609,0,0,0,0,0,0,0.3478,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3913,0,472
Shelton State Community College,Tuscaloosa,AL,1,4755,3960,7350,0,0.4852,28300,24700,NULL,0,0,0,0,0,0,0,0.0366,0,0,0.0256,0,0.0037,0,0,0.2285,0,0,0,0,0,0.0146,0,0,0,0,0,0,0,0,0.0256,0.192,0.0219,0,0.0018,0.3144,0.1353,0,4755
Snead State Community College,Boaz,AL,1,2098,4320,7710,0.2889,0.5865,29600,26500,NULL,0,0,0,0,0,0,0.0635,0.0159,0,0,0.0159,0,0.0417,0,0,0.6746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0913,0.0972,0,2098
University of South Alabama,Mobile,AL,1,11267,7188,14076,0.5729,0.3906,44100,37300,0.8335,0,0,0,0,0.039,0,0.028,0,0.0874,0.0714,0,0.005,0,0,0.0105,0,0,0.0614,0.004,0,0.0435,0.02,0.0045,0,0.022,0,0.032,0.0285,0.015,0.0235,0,0,0,0,0.0445,0.3437,0.1009,0.0155,11267
Spring Hill College,Mobile,AL,2,1215,32468,32468,0.6873,0.2307,49400,42800,0.5177,0,0,0,0,0.0954,0,0,0,0.0664,0.0041,0,0.0041,0,0,0.0415,0.0539,0,0.0913,0.0166,0,0.0249,0,0.0415,0,0.0041,0,0.1494,0,0,0.0747,0,0,0,0,0.029,0.0539,0.2158,0.0332,1215
